="Table 1: Wage regressions"
="",="(1)",="(2)",="(3)",="(4)"
="",="wage",="wage",="wage",="schoolyr"
="4% to 5.9%",="0.841",="1.463***",="0.149",="0.013"
="",="(0.549)",="(0.341)",="(0.132)",="(0.015)"
="6% or more",="3.296***",="3.330***",="-0.050",="0.000"
="",="(0.560)",="(0.412)",="(0.264)",="(0.024)"
="26",="1.510***",="1.670***",="1.778***",="0.141***"
="",="(0.060)",="(0.082)",="(0.081)",="(0.008)"
="27",="3.055***",="3.365***",="3.571***",="0.230***"
="",="(0.122)",="(0.175)",="(0.167)",="(0.012)"
="28",="4.639***",="5.071***",="5.376***",="0.309***"
="",="(0.220)",="(0.312)",="(0.275)",="(0.013)"
="29",="6.341***",="6.907***",="7.350***",="0.387***"
="",="(0.291)",="(0.429)",="(0.374)",="(0.017)"
="30",="7.487***",="8.321***",="9.078***",="0.407***"
="",="(0.304)",="(0.520)",="(0.447)",="(0.016)"
="Hispanic",="-5.510***",="-5.849***",="-5.921***",="-1.813***"
="",="(0.880)",="(0.827)",="(0.832)",="(0.113)"
="Black",="-4.913***",="-4.868***",="-4.847***",="-0.852***"
="",="(0.314)",="(0.221)",="(0.215)",="(0.034)"
="Asian",="6.061***",="5.198***",="5.076***",="0.925***"
="",="(0.584)",="(0.425)",="(0.418)",="(0.095)"
="Indian",="-4.738***",="-4.542***",="-4.640***",="-1.165***"
="",="(0.537)",="(0.640)",="(0.631)",="(0.134)"
="Other race",="-0.157",="-0.633***",="-1.058***",="-0.164***"
="",="(0.162)",="(0.120)",="(0.130)",="(0.030)"
="female",="-2.120***",="-2.159***",="-2.141***",="0.589***"
="",="(0.111)",="(0.111)",="(0.109)",="(0.013)"
="State population (in tens of thousands)",="0.001***",="0.022***",="0.003",="0.001**"
="",="(0.000)",="(0.004)",="(0.003)",="(0.000)"
="Constant",="15.107***",="2.782",="8.241***",="12.566***"
="",="(0.603)",="(1.908)",="(1.217)",="(0.100)"
="State fixed effects",="No",="Yes",="Yes",="Yes"
="Year fixed effects",="No",="No",="Yes",="Yes"
="Mean of dependent variable",="20.3",="20.3",="20.3",="13.9"
="R-squared",=".0761",=".102",=".113",=".13"
="Sample size",="1336498",="1336498",="1336498",="1336498"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
