State_Municipality,num_of_total,num_of_total_rural,num_of_total_urban
1001,231,11,220
1002,17,9,8
1003,28,9,19
1004,5,1,4
1005,17,6,11
1006,10,1,9
1007,23,1,22
1008,7,5,2
1009,8,3,5
1010,6,4,2
1011,9,2,7
2001,206,32,174
2002,361,24,337
2003,37,5,32
2004,635,5,630
2005,49,0,49
2006,69,19,50
2007,8,1,7
3001,72,30,42
3002,66,19,47
3003,189,28,161
3008,135,16,119
3009,17,1,16
4001,26,11,15
4002,181,29,152
4003,139,46,93
4004,63,39,24
4005,21,8,13
4006,39,24,15
4007,24,16,8
4008,9,3,6
4009,55,34,21
4010,42,37,5
4011,92,78,14
4012,8,2,6
4013,7,0,7
5001,2,1,1
5002,42,2,40
5003,9,1,8
5004,16,10,6
5005,3,1,2
5006,10,2,8
5007,14,7,7
5008,3,2,1
5009,27,10,17
5010,15,1,14
5011,13,7,6
5012,3,2,1
5013,1,0,1
5014,7,4,3
5015,3,1,2
5016,1,0,1
5017,28,10,18
5018,62,0,62
5019,4,0,4
5020,22,3,19
5021,3,1,2
5022,4,0,4
5023,15,11,4
5024,25,8,17
5025,58,1,57
5026,3,2,1
5027,30,10,20
5028,16,1,15
5029,3,0,3
5030,210,13,197
5031,10,2,8
5032,20,1,19
5033,39,19,20
5034,8,6,2
5035,182,9,173
5036,13,8,5
5037,5,1,4
5038,9,3,6
6001,23,10,13
6002,134,23,111
6003,23,17,6
6004,24,14,10
6005,27,15,12
6006,16,12,4
6007,132,45,87
6008,22,15,7
6009,87,19,68
6010,41,10,31
7001,10,8,2
7002,11,2,9
7003,24,18,6
7004,23,17,6
7005,23,20,3
7006,24,18,6
7007,7,6,1
7008,17,7,10
7009,28,16,12
7010,5,4,1
7011,19,17,2
7012,21,9,12
7013,19,9,10
7014,13,10,3
7015,19,10,9
7016,13,8,5
7017,54,30,24
7018,8,5,3
7019,76,30,46
7020,29,21,8
7021,13,10,3
7022,17,13,4
7023,61,57,4
7024,9,7,2
7025,5,2,3
7026,44,41,3
7027,36,23,13
7028,4,0,4
7029,4,0,4
7030,24,18,6
7031,153,147,6
7032,21,14,7
7033,12,10,2
7034,41,21,20
7035,6,2,4
7036,3,2,1
7037,14,9,5
7038,27,23,4
7039,25,20,5
7040,32,13,19
7041,25,18,7
7042,11,5,6
7043,8,5,3
7044,10,8,2
7045,8,5,3
7046,35,26,9
7047,10,6,4
7048,15,10,5
7049,19,15,4
7050,5,3,2
7051,26,17,9
7052,101,92,9
7053,10,8,2
7054,16,10,6
7055,2,0,2
7056,7,5,2
7057,48,32,16
7058,3,0,3
7059,162,135,27
7060,12,9,3
7061,39,25,14
7062,19,15,4
7063,3,1,2
7064,46,40,6
7065,92,64,28
7066,29,25,4
7067,13,10,3
7068,32,15,17
7069,63,44,19
7070,11,7,4
7071,16,12,4
7072,14,12,2
7073,7,2,5
7074,28,15,13
7075,12,6,6
7076,22,18,4
7077,56,52,4
7078,80,14,66
7079,14,8,6
7080,23,17,6
7081,33,27,6
7082,26,23,3
7083,14,10,4
7084,9,5,4
7085,4,0,4
7086,7,0,7
7087,19,10,9
7088,2,1,1
7089,182,52,130
7090,2,1,1
7091,8,2,6
7092,17,15,2
7093,18,15,3
7094,17,10,7
7096,47,36,11
7097,76,36,40
7098,5,2,3
7099,52,41,11
7100,26,21,5
7101,264,1,263
7102,17,13,4
7103,12,11,1
7104,15,9,6
7105,9,5,4
7106,31,14,17
7107,35,20,15
7108,59,26,33
7109,37,27,10
7110,3,0,3
7111,20,13,7
7112,30,27,3
7113,10,7,3
7114,10,9,1
7115,15,12,3
7116,16,13,3
7117,11,9,2
7118,6,5,1
7119,4,0,4
7120,5,4,1
7121,1,0,1
7122,7,3,4
7123,6,3,3
7124,14,9,5
7125,13,12,1
8001,6,3,3
8002,9,2,7
8003,5,3,2
8004,4,2,2
8005,11,3,8
8006,5,3,2
8007,25,22,3
8008,23,20,3
8009,46,30,16
8010,11,2,9
8011,24,6,18
8012,17,14,3
8013,5,3,2
8014,3,1,2
8015,4,2,2
8016,1,0,1
8017,59,12,47
8018,4,4,0
8019,340,9,331
8020,15,12,3
8021,44,2,42
8022,6,3,3
8023,2,1,1
8024,2,1,1
8025,12,5,7
8026,3,2,1
8027,60,53,7
8028,4,1,3
8029,67,62,5
8030,15,11,4
8031,32,21,11
8032,41,0,41
8033,1,0,1
8034,7,3,4
8035,4,2,2
8036,12,3,9
8037,345,4,341
8038,2,0,2
8039,4,2,2
8040,21,13,8
8041,7,5,2
8042,2,1,1
8043,4,1,3
8044,7,4,3
8045,11,3,8
8046,17,15,2
8047,10,8,2
8048,18,9,9
8049,5,3,2
8050,34,0,34
8051,12,10,2
8052,9,2,7
8053,4,1,3
8054,4,3,1
8055,6,2,4
8056,3,2,1
8057,4,2,2
8058,2,1,1
8059,5,0,5
8060,5,0,5
8061,4,3,1
8062,9,1,8
8063,7,5,2
8064,2,1,1
8065,28,27,1
8066,19,16,3
8067,6,3,3
9002,172,0,172
9003,255,0,255
9004,93,0,93
9005,500,0,500
9006,139,0,139
9007,603,0,603
9008,103,0,103
9009,69,2,67
9010,260,0,260
9011,140,0,140
9012,287,2,285
9013,141,4,137
9014,325,0,325
9015,483,0,483
9016,245,0,245
9017,223,0,223
10001,19,13,6
10002,6,4,2
10003,4,3,1
10004,18,12,6
10005,257,28,229
10006,9,6,3
10007,81,14,67
10008,17,7,10
10009,14,11,3
10010,6,5,1
10011,8,7,1
10012,38,9,29
10013,17,4,13
10014,48,42,6
10015,9,7,2
10016,11,7,4
10017,11,7,4
10018,11,7,4
10019,6,5,1
10020,8,4,4
10021,5,4,1
10022,8,3,5
10023,31,23,8
10024,10,5,5
10025,8,5,3
10026,23,20,3
10027,11,7,4
10028,9,4,5
10029,2,1,1
10030,3,2,1
10031,5,3,2
10032,28,14,14
10033,8,5,3
10034,29,19,10
10035,11,5,6
10036,11,6,5
10037,8,6,2
10038,11,2,9
10039,14,6,8
11001,22,7,15
11002,57,15,42
11003,52,17,35
11004,21,7,14
11005,29,7,22
11006,7,6,1
11007,136,9,127
11008,19,7,12
11009,22,5,17
11010,4,3,1
11011,30,5,25
11012,12,2,10
11013,8,4,4
11014,53,21,32
11015,69,9,60
11016,10,2,8
11017,155,15,140
11018,14,3,11
11019,28,18,10
11020,352,13,339
11021,29,3,26
11022,15,8,7
11023,67,29,38
11024,11,2,9
11025,19,8,11
11026,18,10,8
11027,80,10,70
11028,41,11,30
11029,18,9,9
11030,35,17,18
11031,44,9,35
11032,26,8,18
11033,47,16,31
11034,4,4,0
11035,24,2,22
11036,6,2,4
11037,45,9,36
11038,11,3,8
11039,17,11,6
11040,9,6,3
11041,19,3,16
11042,39,10,29
11043,13,10,3
11044,17,3,14
11045,14,10,4
11046,31,11,20
12001,391,78,313
12002,33,31,2
12003,31,20,11
12004,35,33,2
12005,9,6,3
12006,9,6,3
12007,26,16,10
12008,18,15,3
12009,15,12,3
12010,30,26,4
12011,63,40,23
12012,41,30,11
12013,13,8,5
12014,16,11,5
12015,13,9,4
12016,24,22,2
12017,13,8,5
12018,11,8,3
12019,18,16,2
12020,31,28,3
12021,62,44,18
12022,42,31,11
12023,18,12,6
12024,17,14,3
12025,14,11,3
12026,12,10,2
12027,27,22,5
12028,90,69,21
12029,155,29,126
12030,8,4,4
12031,9,6,3
12032,48,42,6
12033,23,18,5
12034,34,22,12
12035,60,8,52
12036,16,13,3
12037,8,6,2
12038,68,27,41
12039,23,15,8
12040,22,13,9
12041,33,29,4
12042,23,20,3
12043,36,28,8
12044,7,4,3
12045,36,27,9
12046,45,16,29
12047,11,8,3
12048,42,25,17
12049,9,6,3
12050,25,12,13
12051,33,27,6
12052,36,21,15
12053,34,20,14
12054,36,32,4
12055,73,34,39
12056,45,37,8
12057,56,34,22
12058,52,44,8
12059,29,24,5
12060,13,10,3
12061,18,8,10
12062,23,18,5
12063,16,12,4
12064,15,12,3
12065,16,14,2
12066,52,28,24
12067,21,14,7
12068,35,25,10
12069,19,16,3
12070,8,6,2
12071,23,17,6
12072,17,14,3
12073,22,18,4
12074,18,13,5
12075,40,18,22
12076,48,44,4
12077,6,4,2
12078,18,14,4
12079,11,9,2
12080,4,2,2
12081,17,11,6
12082,9,6,3
12083,10,8,2
12084,7,5,2
12085,4,2,2
13001,20,13,7
13002,34,17,17
13003,50,13,37
13004,13,7,6
13005,10,1,9
13006,19,10,9
13007,7,3,4
13008,30,8,22
13009,13,8,5
13010,22,0,22
13011,25,17,8
13012,23,11,12
13013,17,2,15
13014,21,11,10
13015,38,33,5
13016,35,13,22
13017,12,7,5
13018,30,19,11
13019,17,11,6
13020,9,7,2
13021,8,6,2
13022,8,6,2
13023,17,4,13
13024,9,2,7
13025,34,25,9
13026,16,7,9
13027,31,23,8
13028,85,34,51
13029,40,20,20
13030,69,43,26
13031,20,11,9
13032,8,2,6
13033,6,5,1
13034,14,12,2
13035,4,1,3
13036,8,4,4
13037,31,20,11
13038,14,10,4
13039,6,0,6
13040,17,8,9
13041,38,15,23
13042,17,10,7
13043,19,13,6
13044,19,11,8
13045,9,5,4
13046,31,17,14
13047,9,8,1
13048,194,4,190
13049,23,13,10
13050,12,0,12
13051,38,8,30
13052,20,9,11
13053,43,27,16
13054,28,21,7
13055,20,13,7
13056,11,5,6
13057,12,7,5
13058,16,10,6
13059,31,22,9
13060,22,14,8
13061,30,9,21
13062,45,35,10
13063,31,10,21
13064,14,8,6
13065,5,2,3
13066,7,0,7
13067,36,12,24
13068,24,16,8
13069,44,2,42
13070,13,2,11
13071,22,17,5
13072,4,2,2
13073,43,30,13
13074,22,0,22
13075,9,2,7
13076,88,22,66
13077,68,2,66
13078,23,20,3
13079,9,5,4
13080,23,18,5
13081,17,7,10
13082,17,0,17
13083,17,7,10
13084,40,23,17
14001,8,0,8
14002,7,0,7
14003,10,2,8
14004,3,1,2
14005,6,2,4
14006,33,6,27
14007,6,4,2
14008,23,4,19
14009,9,2,7
14010,3,1,2
14011,3,1,2
14012,6,1,5
14013,21,7,14
14014,6,3,3
14015,32,5,27
14016,11,2,9
14017,13,4,9
14018,29,13,16
14019,15,10,5
14020,10,4,6
14021,10,1,9
14022,16,1,15
14023,40,2,38
14024,13,3,10
14025,20,5,15
14026,2,0,2
14027,17,11,6
14028,3,1,2
14029,10,6,4
14030,22,2,20
14031,7,3,4
14032,4,1,3
14033,8,2,6
14034,2,0,2
14035,16,4,12
14036,6,1,5
14037,10,1,9
14038,6,3,3
14039,474,0,474
14040,9,3,6
14041,9,5,4
14042,9,5,4
14043,20,12,8
14044,14,5,9
14045,11,6,5
14046,11,3,8
14047,7,3,4
14048,10,6,4
14049,7,2,5
14050,18,4,14
14051,6,2,4
14052,4,1,3
14053,48,11,37
14054,4,2,2
14055,6,1,5
14056,5,0,5
14057,2,1,1
14058,8,3,5
14059,7,1,6
14060,3,0,3
14061,35,30,5
14062,3,1,2
14063,26,1,25
14064,15,7,8
14065,12,4,8
14066,18,3,15
14067,72,1,71
14068,15,9,6
14069,8,4,4
14070,28,1,27
14071,5,1,4
14072,3,0,3
14073,22,2,20
14074,5,0,5
14075,2,0,2
14076,5,1,4
14077,16,4,12
14078,7,2,5
14079,8,1,7
14080,6,3,3
14081,6,3,3
14082,9,0,9
14083,21,4,17
14084,11,6,5
14085,24,9,15
14086,11,1,10
14087,9,1,8
14088,8,4,4
14089,4,0,4
14090,7,5,2
14091,18,4,14
14092,6,2,4
14093,47,2,45
14094,13,3,10
14095,5,3,2
14096,9,0,9
14097,81,2,79
14098,98,3,95
14099,9,1,8
14100,23,7,16
14101,62,1,61
14102,3,0,3
14103,4,0,4
14104,5,3,2
14105,7,1,6
14106,4,1,3
14107,3,0,3
14108,9,1,8
14109,11,2,9
14110,8,2,6
14111,3,0,3
14112,7,1,6
14113,15,8,7
14114,12,3,9
14115,5,1,4
14116,7,1,6
14117,3,1,2
14118,12,2,10
14119,12,7,5
14120,314,7,307
14121,12,3,9
14122,6,1,5
14123,7,3,4
14124,23,6,17
14125,6,1,5
15001,57,44,13
15002,45,0,45
15003,50,37,13
15004,14,10,4
15005,73,41,32
15006,3,0,3
15007,25,21,4
15008,39,21,18
15009,23,2,21
15010,11,2,9
15011,19,0,19
15012,5,1,4
15013,138,0,138
15014,78,35,43
15015,10,0,10
15016,18,4,14
15017,4,2,2
15018,15,4,11
15019,15,0,15
15020,49,1,48
15021,30,22,8
15022,6,2,4
15023,7,0,7
15024,65,0,65
15025,94,0,94
15026,23,13,10
15027,3,0,3
15028,14,2,12
15029,34,0,34
15030,8,2,6
15031,109,0,109
15032,23,16,7
15033,261,0,261
15034,6,4,2
15035,35,9,26
15036,18,3,15
15037,70,3,67
15038,5,0,5
15039,95,13,82
15040,28,15,13
15041,10,6,4
15042,96,44,52
15043,13,10,3
15044,6,0,6
15045,60,39,21
15046,8,0,8
15047,39,32,7
15048,43,21,22
15049,11,6,5
15050,7,0,7
15051,54,14,40
15052,21,12,9
15053,14,0,14
15054,108,1,107
15055,4,0,4
15056,24,14,10
15057,281,3,278
15058,186,0,186
15059,12,3,9
15060,72,4,68
15061,6,2,4
15062,23,0,23
15063,22,13,9
15064,38,26,12
15065,18,2,16
15066,6,2,4
15067,27,10,17
15068,10,2,8
15069,2,0,2
15070,46,0,46
15071,18,14,4
15072,7,2,5
15073,8,0,8
15074,97,60,37
15075,12,6,6
15076,36,0,36
15077,13,6,7
15078,11,6,5
15079,11,8,3
15080,32,25,7
15081,85,3,82
15082,64,30,34
15083,11,0,11
15084,20,5,15
15085,43,26,17
15086,36,26,10
15087,54,39,15
15088,34,6,28
15089,6,2,4
15090,36,2,34
15091,17,0,17
15092,27,4,23
15093,13,4,9
15094,12,4,8
15095,24,0,24
15096,12,0,12
15097,15,12,3
15098,4,0,4
15099,106,4,102
15100,9,0,9
15101,36,7,29
15102,17,12,5
15103,13,2,11
15104,211,0,211
15105,50,34,16
15106,403,15,388
15107,7,2,5
15108,23,4,19
15109,81,0,81
15110,36,11,25
15111,30,21,9
15112,22,10,12
15113,27,13,14
15114,61,52,9
15115,19,5,14
15116,5,0,5
15117,23,16,7
15118,58,12,46
15119,15,14,1
15120,51,2,49
15121,92,0,92
15122,56,2,54
15123,35,24,11
15124,87,81,6
15125,3,0,3
16001,7,1,6
16002,14,4,10
16003,21,14,7
16004,12,4,8
16005,5,0,5
16006,64,9,55
16007,2,0,2
16008,33,24,9
16009,20,8,12
16010,19,7,12
16011,8,3,5
16012,21,3,18
16013,13,6,7
16014,18,9,9
16015,13,6,7
16016,19,11,8
16017,26,18,8
16018,7,4,3
16019,12,3,9
16020,18,7,11
16021,6,2,4
16022,15,7,8
16023,5,3,2
16024,9,0,9
16025,23,10,13
16026,10,4,6
16027,8,5,3
16028,7,3,4
16029,9,4,5
16030,7,2,5
16031,17,7,10
16032,5,2,3
16033,15,7,8
16034,59,19,40
16035,28,8,20
16036,11,5,6
16037,9,5,4
16038,41,20,21
16039,8,4,4
16040,9,3,6
16041,10,5,5
16042,6,2,4
16043,15,0,15
16044,11,4,7
16045,17,2,15
16046,8,0,8
16047,17,10,7
16048,3,0,3
16049,23,10,13
16050,56,16,40
16051,9,3,6
16052,97,11,86
16053,335,37,298
16054,17,7,10
16055,22,4,18
16056,15,3,12
16057,12,3,9
16058,3,0,3
16059,12,6,6
16060,9,5,4
16061,8,4,4
16062,11,2,9
16063,17,12,5
16064,13,6,7
16065,16,7,9
16066,54,10,44
16067,19,14,5
16068,15,6,9
16069,44,6,38
16070,12,0,12
16071,53,26,27
16072,8,2,6
16073,16,1,15
16074,3,1,2
16075,28,10,18
16076,25,2,23
16077,14,10,4
16078,10,7,3
16079,20,8,12
16080,16,13,3
16081,9,4,5
16082,37,12,25
16083,18,10,8
16084,15,5,10
16085,18,8,10
16086,14,7,7
16087,10,4,6
16088,35,12,23
16089,14,5,9
16090,6,0,6
16091,9,2,7
16092,19,10,9
16093,16,9,7
16094,11,5,6
16095,6,0,6
16096,10,3,7
16097,23,10,13
16098,13,5,8
16099,21,8,13
16100,8,3,5
16101,14,10,4
16102,95,9,86
16103,13,4,9
16104,14,3,11
16105,18,8,10
16106,17,3,14
16107,44,8,36
16108,60,3,57
16109,3,0,3
16110,28,10,18
16111,7,4,3
16112,69,26,43
16113,15,6,9
17001,15,8,7
17002,10,2,8
17003,25,8,17
17004,37,7,30
17005,16,13,3
17006,100,8,92
17007,241,2,239
17008,35,2,33
17009,13,5,8
17010,10,4,6
17011,71,0,71
17012,56,5,51
17013,16,2,14
17014,5,2,3
17015,13,3,10
17016,11,4,7
17017,30,5,25
17018,56,3,53
17019,22,8,14
17020,21,10,11
17021,11,4,7
17022,7,2,5
17023,8,2,6
17024,32,14,18
17025,31,21,10
17026,16,10,6
17027,7,3,4
17028,35,2,33
17029,56,9,47
17030,24,6,18
17031,21,0,21
17032,5,0,5
17033,9,2,7
17034,3,0,3
17035,3,0,3
17036,2,0,2
18001,57,38,19
18002,18,12,6
18003,21,15,6
18004,63,24,39
18005,31,27,4
18006,29,8,21
18007,23,15,8
18008,32,16,16
18009,113,107,6
18010,42,33,9
18011,26,14,12
18012,45,27,18
18013,12,7,5
18014,23,15,8
18015,87,54,33
18016,45,25,20
18017,223,29,194
