Year,State_Municipality,num_of_total,num_of_total_urban,num_of_total_rural,total_units_total,total_units_urban,total_units_rural,total_consult_rooms_total,total_consult_rooms_urban,total_consult_rooms_rural,consult_room_gen_fam_total,consult_room_gen_fam_urban,consult_room_gen_fam_rural,consult_room_surgery_total,consult_room_surgery_urban,consult_room_surgery_rural,consult_room_obgyn_total,consult_room_obgyn_urban,consult_room_obgyn_rural,consult_room_internal_med_total,consult_room_internal_med_urban,consult_room_internal_med_rural,consult_room_pediatrics_total,consult_room_pediatrics_urban,consult_room_pediatrics_rural,consult_room_dentistry_total,consult_room_dentistry_urban,consult_room_dentistry_rural,consult_room_dermatology_total,consult_room_dermatology_urban,consult_room_dermatology_rural,consult_room_ophthalmology_total,consult_room_ophthalmology_urban,consult_room_ophthalmology_rural,consult_room_ent_total,consult_room_ent_urban,consult_room_ent_rural,consult_room_psychiatry_total,consult_room_psychiatry_urban,consult_room_psychiatry_rural,consult_room_ortho_trauma_total,consult_room_ortho_trauma_urban,consult_room_ortho_trauma_rural,num_of_c1312,num_of_c1312_urban,num_of_c1312_rural,consult_room_psychology_total,consult_room_psychology_urban,consult_room_psychology_rural,num_of_c1314,num_of_c1314_urban,num_of_c1314_rural,num_of_c1315,num_of_c1315_urban,num_of_c1315_rural,consult_room_other_total,consult_room_other_urban,consult_room_other_rural,consult_room_emergency_total,consult_room_emergency_urban,consult_room_emergency_rural,consult_room_cardiology_total,consult_room_cardiology_urban,consult_room_cardiology_rural,consult_room_neurology_total,consult_room_neurology_urban,consult_room_neurology_rural,consult_room_urology_total,consult_room_urology_urban,consult_room_urology_rural,consult_room_oncology_total,consult_room_oncology_urban,consult_room_oncology_rural,total_censable_beds_total,total_censable_beds_urban,total_censable_beds_rural,num_of_c1400,num_of_c1400_urban,num_of_c1400_rural,num_of_c1401,num_of_c1401_urban,num_of_c1401_rural,num_of_c1402,num_of_c1402_urban,num_of_c1402_rural,num_of_c1403,num_of_c1403_urban,num_of_c1403_rural,num_of_c1404,num_of_c1404_urban,num_of_c1404_rural,num_of_c1405,num_of_c1405_urban,num_of_c1405_rural,num_of_c1406,num_of_c1406_urban,num_of_c1406_rural,num_of_c1408,num_of_c1408_urban,num_of_c1408_rural,total_non_censable_beds_total,total_non_censable_beds_urban,total_non_censable_beds_rural,num_of_c1501,num_of_c1501_urban,num_of_c1501_rural,num_of_c1502,num_of_c1502_urban,num_of_c1502_rural,num_of_c1504,num_of_c1504_urban,num_of_c1504_rural,num_of_c1505,num_of_c1505_urban,num_of_c1505_rural,num_of_c1506,num_of_c1506_urban,num_of_c1506_rural,num_of_c1507,num_of_c1507_urban,num_of_c1507_rural,num_of_c1508,num_of_c1508_urban,num_of_c1508_rural,num_of_c1509,num_of_c1509_urban,num_of_c1509_rural,num_of_c1601,num_of_c1601_urban,num_of_c1601_rural,num_of_c1602,num_of_c1602_urban,num_of_c1602_rural,num_of_c1701,num_of_c1701_urban,num_of_c1701_rural,num_of_c1702,num_of_c1702_urban,num_of_c1702_rural,total_doctors_total,total_doctors_urban,total_doctors_rural,num_of_c1801,num_of_c1801_urban,num_of_c1801_rural,num_of_c1803,num_of_c1803_urban,num_of_c1803_rural,num_of_c1804,num_of_c1804_urban,num_of_c1804_rural,num_of_c1805,num_of_c1805_urban,num_of_c1805_rural,num_of_c1806,num_of_c1806_urban,num_of_c1806_rural,num_of_c1807,num_of_c1807_urban,num_of_c1807_rural,num_of_c1808,num_of_c1808_urban,num_of_c1808_rural,num_of_c1809,num_of_c1809_urban,num_of_c1809_rural,num_of_c1810,num_of_c1810_urban,num_of_c1810_rural,num_of_c1811,num_of_c1811_urban,num_of_c1811_rural,num_of_c1812,num_of_c1812_urban,num_of_c1812_rural,num_of_c1813,num_of_c1813_urban,num_of_c1813_rural,num_of_c1814,num_of_c1814_urban,num_of_c1814_rural,num_of_c1815,num_of_c1815_urban,num_of_c1815_rural,num_of_c1816,num_of_c1816_urban,num_of_c1816_rural,num_of_c1817,num_of_c1817_urban,num_of_c1817_rural,num_of_c1818,num_of_c1818_urban,num_of_c1818_rural,num_of_c1819,num_of_c1819_urban,num_of_c1819_rural,num_of_c1820,num_of_c1820_urban,num_of_c1820_rural,num_of_c1821,num_of_c1821_urban,num_of_c1821_rural,num_of_c1822,num_of_c1822_urban,num_of_c1822_rural,num_of_c1823,num_of_c1823_urban,num_of_c1823_rural,num_of_c1824,num_of_c1824_urban,num_of_c1824_rural,num_of_c1825,num_of_c1825_urban,num_of_c1825_rural,num_of_c1826,num_of_c1826_urban,num_of_c1826_rural,total_doctors_in_training_total,total_doctors_in_training_urban,total_doctors_in_training_rural,num_of_c1901,num_of_c1901_urban,num_of_c1901_rural,num_of_c1902,num_of_c1902_urban,num_of_c1902_rural,num_of_c1903,num_of_c1903_urban,num_of_c1903_rural,num_of_c1904,num_of_c1904_urban,num_of_c1904_rural,num_of_e20,num_of_e20_urban,num_of_e20_rural,num_of_c2001,num_of_c2001_urban,num_of_c2001_rural,num_of_c2002,num_of_c2002_urban,num_of_c2002_rural,num_of_c2003,num_of_c2003_urban,num_of_c2003_rural,num_of_c2004,num_of_c2004_urban,num_of_c2004_rural,num_of_c2005,num_of_c2005_urban,num_of_c2005_rural,total_nursing_contact_total,total_nursing_contact_urban,total_nursing_contact_rural,num_of_c2101,num_of_c2101_urban,num_of_c2101_rural,num_of_c2102,num_of_c2102_urban,num_of_c2102_rural,num_of_c2103,num_of_c2103_urban,num_of_c2103_rural,num_of_c2104,num_of_c2104_urban,num_of_c2104_rural,num_of_e22,num_of_e22_urban,num_of_e22_rural,num_of_c2201,num_of_c2201_urban,num_of_c2201_rural,num_of_c2202,num_of_c2202_urban,num_of_c2202_rural,num_of_c2204,num_of_c2204_urban,num_of_c2204_rural,total_professionals_total,total_professionals_urban,total_professionals_rural,num_of_c2301,num_of_c2301_urban,num_of_c2301_rural,num_of_c2302,num_of_c2302_urban,num_of_c2302_rural,num_of_c2303,num_of_c2303_urban,num_of_c2303_rural,num_of_c2304,num_of_c2304_urban,num_of_c2304_rural,num_of_c2305,num_of_c2305_urban,num_of_c2305_rural,num_of_c2306,num_of_c2306_urban,num_of_c2306_rural,num_of_c2308,num_of_c2308_urban,num_of_c2308_rural,total_technicians_total,total_technicians_urban,total_technicians_rural,num_of_c2401,num_of_c2401_urban,num_of_c2401_rural,num_of_c2402,num_of_c2402_urban,num_of_c2402_rural,num_of_c2403,num_of_c2403_urban,num_of_c2403_rural,num_of_c2404,num_of_c2404_urban,num_of_c2404_rural,num_of_c2405,num_of_c2405_urban,num_of_c2405_rural,num_of_c2406,num_of_c2406_urban,num_of_c2406_rural,num_of_c2407,num_of_c2407_urban,num_of_c2407_rural,num_of_c2408,num_of_c2408_urban,num_of_c2408_rural,num_of_c2409,num_of_c2409_urban,num_of_c2409_rural,num_of_c2410,num_of_c2410_urban,num_of_c2410_rural,num_of_c2411,num_of_c2411_urban,num_of_c2411_rural,num_of_c2412,num_of_c2412_urban,num_of_c2412_rural,num_of_c2413,num_of_c2413_urban,num_of_c2413_rural,num_of_c2414,num_of_c2414_urban,num_of_c2414_rural,num_of_c2415,num_of_c2415_urban,num_of_c2415_rural,total_other_personnel_total,total_other_personnel_urban,total_other_personnel_rural,num_of_c2501,num_of_c2501_urban,num_of_c2501_rural,num_of_c2502,num_of_c2502_urban,num_of_c2502_rural,num_of_c2503,num_of_c2503_urban,num_of_c2503_rural,num_of_c2504,num_of_c2504_urban,num_of_c2504_rural,num_of_c2506,num_of_c2506_urban,num_of_c2506_rural,num_of_c1706,num_of_c1706_urban,num_of_c1706_rural,num_of_c1707,num_of_c1707_urban,num_of_c1707_rural,num_of_c1710,num_of_c1710_urban,num_of_c1710_rural,num_of_c1725,num_of_c1725_urban,num_of_c1725_rural,num_of_c1729,num_of_c1729_urban,num_of_c1729_rural,num_of_c1735,num_of_c1735_urban,num_of_c1735_rural,num_of_c1738,num_of_c1738_urban,num_of_c1738_rural,num_of_c1745,num_of_c1745_urban,num_of_c1745_rural,num_of_c1746,num_of_c1746_urban,num_of_c1746_rural,num_of_c1747,num_of_c1747_urban,num_of_c1747_rural,num_of_c1749,num_of_c1749_urban,num_of_c1749_rural,num_of_c1730,num_of_c1730_urban,num_of_c1730_rural
2001,1001,27,18,9,27,18,9,133,122,11,60,51,9,2,2,0,5,5,0,2,2,0,3,3,0,18,16,2,1,1,0,3,3,0,1,1,0,4,4,0,1,1,0,1,1,0,11,11,0,9,9,0,0,0,0,2,2,0,6,6,0,1,1,0,2,2,0,1,1,0,0,0,0,276,276,0,0,0,0,56,56,0,39,39,0,48,48,0,43,43,0,0,0,0,90,90,0,0,0,0,101,87,14,25,11,14,24,24,0,5,5,0,23,23,0,8,8,0,4,4,0,4,4,0,8,8,0,14,14,0,20,20,0,8,8,0,4,4,0,485,474,11,87,87,0,33,33,0,27,27,0,28,28,0,15,15,0,3,3,0,5,5,0,10,10,0,1,1,0,36,36,0,8,8,0,22,21,1,1,1,0,3,3,0,6,6,0,9,9,0,2,2,0,2,2,0,3,3,0,3,3,0,4,4,0,3,3,0,1,1,0,169,159,10,4,4,0,142,132,10,11,2,9,11,10,1,38,38,0,82,82,0,47,47,0,33,33,0,6,6,0,2,2,0,3,3,0,3,3,0,736,726,10,214,212,2,84,84,0,41,41,0,397,389,8,21,21,0,19,19,0,2,2,0,0,0,0,93,93,0,15,15,0,28,28,0,0,0,0,0,0,0,2,2,0,33,33,0,15,15,0,138,132,6,0,0,0,29,29,0,3,3,0,22,22,0,13,13,0,0,0,0,2,2,0,0,0,0,24,24,0,1,1,0,27,21,6,1,1,0,0,0,0,16,16,0,0,0,0,549,549,0,222,222,0,19,19,0,50,50,0,82,82,0,176,176,0,2,2,0,2,2,0,5,5,0,11,11,0,1,1,0,1,1,0,0,0,0,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0
2002,1001,29,20,9,29,20,9,158,147,11,61,52,9,3,3,0,6,6,0,3,3,0,5,5,0,19,17,2,1,1,0,4,4,0,2,2,0,4,4,0,2,2,0,2,2,0,15,15,0,10,10,0,1,1,0,14,14,0,2,2,0,2,2,0,1,1,0,0,0,0,1,1,0,298,298,0,0,0,0,60,60,0,41,41,0,56,56,0,51,51,0,0,0,0,90,90,0,0,0,0,141,126,15,24,11,13,39,38,1,13,13,0,23,23,0,10,10,0,18,17,1,11,11,0,3,3,0,17,17,0,29,29,0,13,13,0,3,3,0,507,495,12,97,96,1,61,61,0,23,23,0,18,18,0,12,12,0,3,3,0,4,4,0,6,6,0,1,1,0,42,42,0,8,8,0,23,22,1,0,0,0,3,3,0,5,5,0,11,11,0,2,2,0,2,2,0,3,3,0,3,3,0,4,4,0,4,4,0,1,1,0,166,156,10,5,5,0,138,128,10,13,4,9,15,14,1,38,38,0,72,72,0,54,54,0,34,34,0,6,6,0,2,2,0,3,3,0,9,9,0,857,846,11,249,246,3,82,82,0,115,115,0,411,403,8,43,43,0,28,28,0,11,11,0,4,4,0,90,90,0,15,15,0,29,29,0,0,0,0,0,0,0,2,2,0,33,33,0,11,11,0,134,128,6,0,0,0,26,26,0,3,3,0,29,29,0,15,15,0,0,0,0,4,4,0,0,0,0,23,23,0,2,2,0,30,24,6,1,1,0,1,1,0,0,0,0,0,0,0,465,465,0,272,272,0,14,14,0,46,46,0,129,129,0,4,4,0,1,1,0,3,3,0,8,8,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2003,1001,29,20,9,29,20,9,158,147,11,61,52,9,3,3,0,6,6,0,3,3,0,5,5,0,19,17,2,1,1,0,4,4,0,2,2,0,4,4,0,2,2,0,2,2,0,15,15,0,10,10,0,1,1,0,3,3,0,9,9,0,2,2,0,2,2,0,1,1,0,3,3,0,298,298,0,0,0,0,60,60,0,41,41,0,56,56,0,51,51,0,0,0,0,90,90,0,0,0,0,170,155,15,24,11,13,29,29,0,13,13,0,23,23,0,10,10,0,57,55,2,11,11,0,3,3,0,15,15,0,38,38,0,13,13,0,3,3,0,369,367,2,97,96,1,61,61,0,23,23,0,18,18,0,12,12,0,3,3,0,4,4,0,6,6,0,1,1,0,42,42,0,8,8,0,23,22,1,0,0,0,3,3,0,5,5,0,11,11,0,2,2,0,2,2,0,3,3,0,3,3,0,4,4,0,4,4,0,1,1,0,28,28,0,5,5,0,136,126,10,12,3,9,14,13,1,38,38,0,72,72,0,54,54,0,34,34,0,6,6,0,2,2,0,3,3,0,9,9,0,857,846,11,249,246,3,82,82,0,117,117,0,409,401,8,43,43,0,28,28,0,2,2,0,13,13,0,90,90,0,15,15,0,29,29,0,0,0,0,0,0,0,2,2,0,33,33,0,11,11,0,134,128,6,0,0,0,0,0,0,3,3,0,29,29,0,0,0,0,0,0,0,4,4,0,0,0,0,23,23,0,0,0,0,0,0,0,1,1,0,1,1,0,73,67,6,0,0,0,465,465,0,0,0,0,0,0,0,0,0,0,0,0,0,465,465,0,1,1,0,3,3,0,6,6,0,10,10,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0,2,2,0,0,0,0,0,0,0
2004,1001,29,20,9,29,20,9,188,172,16,78,66,12,2,2,0,5,5,0,3,3,0,4,4,0,20,19,1,1,1,0,1,1,0,2,2,0,5,5,0,2,2,0,0,0,0,25,25,0,13,10,3,3,3,0,8,8,0,8,8,0,2,2,0,2,2,0,1,1,0,3,3,0,332,332,0,0,0,0,44,44,0,46,46,0,27,27,0,47,47,0,16,16,0,90,90,0,62,62,0,191,186,5,8,4,4,53,52,1,12,12,0,29,29,0,10,10,0,53,53,0,4,4,0,22,22,0,19,19,0,22,22,0,16,16,0,3,3,0,491,481,10,134,125,9,77,77,0,32,32,0,28,28,0,20,20,0,3,3,0,5,5,0,6,6,0,0,0,0,49,49,0,10,10,0,25,24,1,0,0,0,3,3,0,6,6,0,9,9,0,0,0,0,2,2,0,2,2,0,0,0,0,3,3,0,1,1,0,7,7,0,69,69,0,0,0,0,157,148,9,8,1,7,13,11,2,46,46,0,90,90,0,50,49,1,35,34,1,6,6,0,2,2,0,3,3,0,4,4,0,1048,1033,15,379,371,8,141,141,0,129,128,1,399,393,6,34,31,3,26,24,2,3,2,1,5,5,0,100,99,1,17,17,0,38,38,0,0,0,0,0,0,0,3,3,0,37,37,0,5,4,1,189,183,6,0,0,0,23,23,0,0,0,0,53,53,0,36,36,0,0,0,0,1,1,0,0,0,0,40,40,0,1,1,0,29,23,6,0,0,0,2,2,0,4,4,0,0,0,0,686,683,3,378,377,1,26,26,0,129,129,0,114,112,2,39,39,0,2,2,0,3,3,0,6,6,0,10,10,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0,2,2,0,0,0,0,0,0,0
2005,1001,31,22,9,31,22,9,195,178,17,78,66,12,2,2,0,5,5,0,3,3,0,3,3,0,22,20,2,1,1,0,1,1,0,2,2,0,5,5,0,2,2,0,1,1,0,25,25,0,13,10,3,2,2,0,14,14,0,10,10,0,1,1,0,1,1,0,1,1,0,3,3,0,336,336,0,0,0,0,40,40,0,55,55,0,25,25,0,62,62,0,16,16,0,90,90,0,48,48,0,174,169,5,4,0,4,43,42,1,19,19,0,24,24,0,9,9,0,49,49,0,4,4,0,22,22,0,23,23,0,21,21,0,13,13,0,3,3,0,515,508,7,138,131,7,80,80,0,33,33,0,27,27,0,17,17,0,3,3,0,4,4,0,6,6,0,0,0,0,48,48,0,20,20,0,22,22,0,0,0,0,3,3,0,6,6,0,9,9,0,0,0,0,2,2,0,2,2,0,3,3,0,1,1,0,7,7,0,0,0,0,63,63,0,21,21,0,171,162,9,10,3,7,16,14,2,55,55,0,90,90,0,60,60,0,45,45,0,6,6,0,3,3,0,3,3,0,3,3,0,1055,1040,15,346,336,10,127,127,0,130,129,1,452,448,4,36,36,0,28,28,0,4,4,0,4,4,0,108,107,1,18,18,0,35,35,0,0,0,0,0,0,0,2,2,0,45,45,0,8,7,1,224,218,6,0,0,0,28,28,0,0,0,0,52,52,0,33,33,0,1,1,0,1,1,0,9,9,0,43,43,0,2,2,0,34,28,6,0,0,0,2,2,0,19,19,0,0,0,0,682,679,3,377,374,3,30,30,0,120,120,0,111,111,0,44,44,0,2,2,0,3,3,0,6,6,0,10,10,0,1,1,0,1,1,0,1,1,0,1,1,0,3,3,0,2,2,0,0,0,0,0,0,0
2006,1001,32,23,9,32,23,9,186,172,14,79,67,12,2,2,0,5,5,0,3,3,0,3,3,0,22,20,2,1,1,0,1,1,0,2,2,0,5,5,0,2,2,0,1,1,0,25,25,0,2,2,0,2,2,0,15,15,0,10,10,0,1,1,0,1,1,0,1,1,0,3,3,0,336,336,0,0,0,0,40,40,0,55,55,0,25,25,0,62,62,0,16,16,0,90,90,0,48,48,0,162,161,1,0,0,0,43,42,1,19,19,0,24,24,0,9,9,0,41,41,0,4,4,0,22,22,0,21,21,0,21,21,0,15,15,0,3,3,0,493,488,5,132,127,5,80,80,0,33,33,0,26,26,0,17,17,0,3,3,0,4,4,0,6,6,0,0,0,0,48,48,0,12,12,0,25,25,0,0,0,0,3,3,0,6,6,0,9,9,0,0,0,0,2,2,0,2,2,0,3,3,0,0,0,0,7,7,0,0,0,0,68,68,0,7,7,0,164,155,9,10,3,7,12,10,2,52,52,0,90,90,0,59,59,0,41,41,0,9,9,0,3,3,0,3,3,0,3,3,0,1058,1044,14,366,360,6,138,138,0,129,129,0,425,417,8,36,36,0,28,28,0,4,4,0,4,4,0,98,98,0,18,18,0,37,37,0,0,0,0,0,0,0,1,1,0,41,41,0,1,1,0,217,211,6,0,0,0,23,23,0,0,0,0,52,52,0,39,39,0,0,0,0,1,1,0,0,0,0,42,42,0,3,3,0,32,26,6,0,0,0,2,2,0,23,23,0,0,0,0,685,682,3,382,379,3,26,26,0,114,114,0,103,103,0,60,60,0,1,1,0,3,3,0,6,6,0,7,7,0,1,1,0,2,2,0,1,1,0,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0
2007,1001,33,24,9,33,24,9,201,184,17,80,68,12,2,2,0,7,7,0,3,3,0,3,3,0,23,21,2,1,1,0,1,1,0,2,2,0,6,6,0,2,2,0,1,1,0,29,29,0,12,9,3,1,1,0,13,13,0,10,10,0,1,1,0,1,1,0,0,0,0,3,3,0,373,373,0,0,0,0,74,74,0,65,65,0,64,64,0,53,53,0,0,0,0,90,90,0,27,27,0,224,224,0,11,11,0,56,56,0,20,20,0,24,24,0,0,0,0,113,113,0,0,0,0,0,0,0,32,32,0,38,38,0,19,19,0,4,4,0,543,539,4,145,142,3,74,74,0,38,38,0,33,33,0,25,25,0,4,4,0,5,5,0,11,11,0,0,0,0,54,54,0,15,15,0,27,26,1,2,2,0,4,4,0,5,5,0,12,12,0,2,2,0,4,4,0,3,3,0,5,5,0,5,5,0,6,6,0,2,2,0,56,56,0,6,6,0,172,164,8,8,2,6,9,7,2,40,40,0,115,115,0,49,46,3,39,36,3,4,4,0,3,3,0,3,3,0,0,0,0,1105,1089,16,383,379,4,139,139,0,122,120,2,461,451,10,30,30,0,25,25,0,5,5,0,0,0,0,122,122,0,19,19,0,45,45,0,0,0,0,0,0,0,4,4,0,51,51,0,3,3,0,257,251,6,0,0,0,19,19,0,0,0,0,47,47,0,33,33,0,0,0,0,2,2,0,0,0,0,40,40,0,3,3,0,31,25,6,0,0,0,2,2,0,80,80,0,0,0,0,714,712,2,433,431,2,27,27,0,66,66,0,127,127,0,61,61,0,1,1,0,3,3,0,4,4,0,11,11,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0
2008,1001,36,27,9,36,27,9,211,196,15,80,69,11,2,2,0,7,7,0,3,3,0,3,3,0,29,26,3,1,1,0,1,1,0,2,2,0,11,11,0,1,1,0,1,1,0,22,22,0,8,7,1,3,3,0,23,23,0,11,11,0,1,1,0,1,1,0,1,1,0,0,0,0,372,372,0,0,0,0,74,74,0,66,66,0,64,64,0,53,53,0,0,0,0,90,90,0,25,25,0,227,226,1,7,7,0,64,63,1,22,22,0,38,38,0,9,9,0,63,63,0,8,8,0,16,16,0,17,17,0,46,46,0,19,19,0,3,3,0,577,572,5,155,151,4,75,75,0,36,36,0,36,36,0,25,25,0,6,6,0,6,6,0,11,11,0,0,0,0,59,59,0,14,14,0,30,29,1,2,2,0,4,4,0,6,6,0,12,12,0,2,2,0,4,4,0,3,3,0,5,5,0,6,6,0,6,6,0,3,3,0,63,63,0,8,8,0,186,175,11,11,3,8,13,10,3,35,35,0,127,127,0,43,40,3,33,30,3,3,3,0,3,3,0,3,3,0,1,1,0,1152,1136,16,411,408,3,121,121,0,148,145,3,472,462,10,42,42,0,37,37,0,5,5,0,0,0,0,140,139,1,20,20,0,46,46,0,0,0,0,0,0,0,5,4,1,65,65,0,4,4,0,267,262,5,0,0,0,19,19,0,0,0,0,49,49,0,28,28,0,0,0,0,2,2,0,0,0,0,40,40,0,3,3,0,30,25,5,0,0,0,2,2,0,94,94,0,0,0,0,763,761,2,457,455,2,37,37,0,72,72,0,133,133,0,64,64,0,1,1,0,3,3,0,4,4,0,16,16,0,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0
2009,1001,35,26,9,35,26,9,206,190,16,79,67,12,2,2,0,7,7,0,3,3,0,3,3,0,28,25,3,1,1,0,1,1,0,2,2,0,6,6,0,1,1,0,1,1,0,24,24,0,7,6,1,3,3,0,24,24,0,11,11,0,1,1,0,1,1,0,1,1,0,0,0,0,372,372,0,0,0,0,74,74,0,66,66,0,64,64,0,53,53,0,0,0,0,90,90,0,25,25,0,234,233,1,7,7,0,67,66,1,22,22,0,38,38,0,9,9,0,63,63,0,12,12,0,16,16,0,23,23,0,38,38,0,19,19,0,3,3,0,580,576,4,150,147,3,80,80,0,37,37,0,40,40,0,25,25,0,4,4,0,5,5,0,11,11,0,0,0,0,59,59,0,9,9,0,29,28,1,2,2,0,4,4,0,6,6,0,13,13,0,2,2,0,4,4,0,3,3,0,5,5,0,6,6,0,8,8,0,3,3,0,67,67,0,8,8,0,172,164,8,9,2,7,9,8,1,40,40,0,114,114,0,43,41,2,32,30,2,4,4,0,3,3,0,3,3,0,1,1,0,1236,1217,19,418,416,2,120,120,0,154,150,4,544,531,13,42,42,0,37,37,0,5,5,0,0,0,0,151,148,3,18,18,0,49,49,0,0,0,0,0,0,0,18,16,2,61,61,0,5,4,1,286,280,6,0,0,0,18,18,0,0,0,0,50,50,0,29,29,0,0,0,0,3,3,0,0,0,0,44,44,0,3,3,0,35,29,6,0,0,0,2,2,0,102,102,0,0,0,0,783,781,2,469,467,2,38,38,0,71,71,0,137,137,0,68,68,0,1,1,0,3,3,0,9,9,0,19,19,0,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0,3,3,0,1,1,0,0,0,0
2010,1001,38,29,9,38,29,9,209,194,15,83,71,12,2,2,0,7,7,0,3,3,0,3,3,0,29,26,3,1,1,0,1,1,0,2,2,0,6,6,0,2,2,0,1,1,0,25,25,0,0,0,0,3,3,0,27,27,0,11,11,0,1,1,0,1,1,0,1,1,0,0,0,0,372,372,0,0,0,0,74,74,0,66,66,0,64,64,0,53,53,0,0,0,0,90,90,0,25,25,0,187,186,1,7,7,0,42,41,1,21,21,0,29,29,0,8,8,0,65,65,0,12,12,0,3,3,0,23,23,0,38,38,0,19,19,0,4,4,0,596,589,7,151,145,6,81,81,0,39,39,0,41,41,0,27,27,0,3,3,0,5,5,0,17,17,0,0,0,0,55,55,0,9,9,0,33,32,1,2,2,0,4,4,0,6,6,0,12,12,0,2,2,0,4,4,0,3,3,0,5,5,0,5,5,0,8,8,0,3,3,0,71,71,0,10,10,0,198,187,11,11,2,9,11,9,2,43,43,0,133,133,0,46,44,2,35,33,2,4,4,0,2,2,0,3,3,0,2,2,0,1284,1266,18,421,417,4,124,124,0,186,183,3,553,542,11,43,43,0,37,37,0,6,6,0,0,0,0,173,166,7,20,20,0,51,51,0,0,0,0,0,0,0,33,26,7,66,66,0,3,3,0,292,286,6,0,0,0,17,17,0,1,1,0,53,53,0,31,31,0,0,0,0,3,3,0,0,0,0,44,44,0,2,2,0,38,32,6,0,0,0,2,2,0,101,101,0,0,0,0,812,809,3,481,478,3,38,38,0,80,80,0,145,145,0,68,68,0,1,1,0,4,4,0,6,6,0,21,21,0,0,0,0,1,1,0,2,2,0,0,0,0,2,2,0,3,3,0,1,1,0,0,0,0
